Gene,1,2,3,4,5,6,7,8,9,10,11,12
DUSP2,0.000159060979327188,1.18441478144311e-05,1.64979815347524e-153,3.23692796765845e-213,7.27910930293533e-89,3.10559032822472e-153,4.81046345111144e-130,1.1705081581631e-13,0.00717800721757778,0.00425119538342865,6.21952096504722e-08,1.62442450186145e-91
IL1R1,1.84520914919884e-62,3.04410734631851e-35,0.00525056720209067,0.00473452513021762,0.003039623441088,0.000507158247612078,6.07169824259835e-06,2.99237128374347e-159,4.87373987988989e-22,1.70155211826235e-161,9.56609660494129e-181,1.85076221854967e-81
FHL2,0.00415772011680064,0.00441288170363185,0.000735892166080383,0.0014871531795108,0.00387917725477071,4.98495871665264e-45,0.00302118021424369,0.000397215293241071,0.00509945821975644,0.00205586531257792,0.000998196757011096,0.00348650194258783
ATP5MC3,0.00275876658857561,0.00541954677951995,0.00353644386950342,0.00196902466978965,0.00301772975895294,0.00681513972935832,0.00250660411010447,1.067742337977e-259,1.51859528431227e-57,0,0,4.93613682923494e-19
FRZB,2.28135141794793e-164,1.42428238267951e-105,0.000774642731604857,8.8200701142126e-61,7.84571061497288e-64,4.11683288418341e-50,0.00103061560008102,0.00226812976753491,5.06071341674922e-62,0.00563964031283536,2.31635222376612e-16,1.55394375361448e-27
COL3A1,0.00217374894353917,1.7215163844415e-21,0.0109807051628036,0.00633922518277655,0.00216248272003343,0.00181296776324805,1.74042525034566e-07,2.19835477500981e-10,0.00962586668805982,0.00694518101224938,0.00261780032913141,0.0133630677650367
COL5A2,0.00291188443730391,0.00068545532282063,0.00362854906611143,0.0037154011593045,0.003017475736074,0.0010067190454959,0.00289932864165434,4.55436751708466e-20,0.00443985801170822,0.00041419217467827,8.94645367373853e-11,0.00870312240278864
STAT1,0.00311247850312484,1.63868592157482e-21,0.00161472529677927,5.13444014926156e-05,0.00429397470361986,0.00207238371514874,0.00128513334503457,1.72901529710623e-16,0.00122511726663248,0.000970430517866969,0.00120864983307276,8.09806593084752e-38
FN1,0.00735801859179256,0.00470534284085853,0.00779719057949575,0.00895443014583736,0.00509714058928729,0.00414504144906866,0.00614438152505551,0.00204906244532585,0.0038478931729649,0.00255194346953508,0.00638157328949385,0.0139428876360585
IGFBP2,0.00237866579362664,3.39890390068629e-33,0.00847452390040242,0.00426769137692373,0.00170021680337237,0.0043237408148023,0.00508890195219073,0.00942531039547429,0.00977981224064808,0.00275729002082855,0.00185971443732821,0.00223346474898239
